source,target,maxspeed,osmid,length,name,oneway
2202026176,138246940,0,391839895,15.745,Rua de Ferreira Cardoso,True
2202026176,2202026181,50,210073245,48.287,Avenida de Camilo,True
2202026181,2202026187,0,210073280,14.472,NONE,False
2202026181,2202026189,50,210073245,52.346,Avenida de Camilo,True
480346311,1105954950,0,39979716,24.963,Rua 6,False
480346311,480346404,0,39979741,30.031,Rua 8,False
480346311,480346209,0,39979741,42.782,Rua 8,False
1554874570,2135998880,0,31573135,96.144,Rua de Augusto Rosa,True
2202026187,2202026181,0,210073280,14.472,NONE,False
2202026187,138246940,50,14334234,50.222,Avenida de Camilo,True
2202026189,2202026196,50,210073245,52.694,Avenida de Camilo,True
2202026189,2202026195,0,210073287,14.102,NONE,False
480346323,1105954950,0,39979716,28.233,Rua 6,False
480346323,480346337,0,39979720,30.433,Rua 5,False
480346323,479522367,0,39979720,54.906,Rua 5,False
2202026195,2202026189,0,210073287,14.102,NONE,False
2202026195,2202026187,50,14334234,52.096,Avenida de Camilo,True
299614420,253283034,0,35084624,32.368,Rua do Major David Magno,False
2202026196,2202026209,50,210073245,50.536,Avenida de Camilo,True
2202026196,2202026206,0,210073288,13.677,NONE,False
299614426,1108076389,0,545035488,43.187,Rua de São Gonçalo,False
299614426,299614331,0,482324649,88.478,Rua Coutinho de Azevedo,True
128680158,129558556,0,14326493,160.876,Campo dos Mártires da Pátria,True
128680158,1554886175,0,51230332,92.25000000000001,Rua Professor Vicente José de Carvalho,False
2202026206,2202026195,50,14334234,52.745,Avenida de Camilo,True
2202026206,2202026196,0,210073288,13.677,NONE,False
479297761,4505062039,50,252061999,20.18,Rua da Torreira,False
479297761,479412037,50,453823648,57.133,Rua do Estoril,True
479297762,479297773,0,39928989,20.456,Rua de Cascais,False
479297762,1840161060,0,36854000,65.009,Rua do Furadouro,False
479297762,479297761,50,453823648,42.555,Rua do Estoril,True
480346337,480346323,0,39979720,30.433,Rua 5,False
1471135969,1461624008,0,132855199,3.881,Rua Amândio Tavares,False
1471135969,1471135970,0,132855199,60.42700000000001,Rua Amândio Tavares,False
1471135969,1461624007,0,133659992,183.311,Rua do Professor Agostinho da Silva,True
1471135970,1461657431,0,132854916,109.361,Rua de Armando Laroze Rocha,True
1471135970,1471135969,0,132855199,60.42700000000001,Rua Amândio Tavares,False
2202026209,2202026216,50,210073245,61.001,Avenida de Camilo,True
2202026209,138246839,0,210073284,13.338,NONE,False
