source,target,maxspeed,length,name,oneway
4925459193,7137534526,50,54.504000000000005,Rua Tareija Vaz de Altaro,True
2053573404,2053572447,50,65.43,Rua da Póvoa,False
2904525627,2904508477,50,4.907,NONE,False
475073406,3147589758,50,4.444,Rua do Melo,False
475073406,474544816,50,32.353,Rua do Melo,False
475073406,475073423,50,13.874,Rua Padre Luís Rodrigues,False
1278184335,4529952474,50,9.17,Rua de Alexandre Braga,True
1278184335,4356494336,50,57.791,Rua de Fernandes Tomás,True
475073423,2397188710,50,99.182,Rua Padre Luís Rodrigues,False
475073423,475073406,50,13.874,Rua Padre Luís Rodrigues,False
475073423,5336503464,50,24.508,NONE,False
475073428,3148938222,50,175.80599999999998,NONE,False
475073428,3148938222,50,25.987,NONE,False
475073428,3148938215,50,22.998,Rua Padre Luís Rodrigues,False
1278184346,2204100028,20,44.346000000000004,Rua do Bonjardim,False
1278184346,3392939460,50,91.014,Rua Formosa,True
1278184350,3891282355,50,62.019,Rua Formosa,True
4529130474,3130312346,50,3.34,NONE,False
4529130475,3130312346,50,4.163,NONE,False
4529130475,7134805798,50,12.014,NONE,False
4529130475,7134805807,50,21.581,NONE,False
4529130485,4529130486,50,3.757,NONE,False
4529130486,129558976,50,7.865,Rua de Ferreira Borges,True
4529130486,4529130487,50,8.293,NONE,False
4529130486,4529130485,50,3.757,NONE,False
4529130487,4529130486,50,8.293,NONE,False
2086439968,5673235275,50,6.216,NONE,True
2086439968,2086439969,50,3.668,Rua de São Filipe de Nery,True
2086439969,2086440304,50,25.243,Rua de São Filipe de Nery,True
6571265130,6571265131,50,6.633,NONE,False
6571265131,1143317277,50,99.264,Rua de Dom Hugo,True
6571265131,6571265130,50,6.633,NONE,False
6571265165,5118553704,50,4.794,NONE,False
6571265165,5118553688,50,36.992,NONE,False
6571265165,3891282122,50,38.87,NONE,False
6571265182,1143317472,50,18.573999999999998,NONE,False
2466286885,7137534499,40,10.542,Calçada de Vandoma,False
2466286885,2205504451,40,10.187999999999999,Calçada de Vandoma,False
2940931372,2939688589,50,7.484,Rua Guedes de Azevedo,True
2940931372,3694660030,50,34.05,Rua do Bolhão,True
2086440304,4529953563,50,17.355,Rua de São Filipe de Nery,True
2086440304,4529953566,50,14.806000000000001,Rua de São Filipe de Nery,True
2256047593,3392711298,50,19.666,NONE,False
2356350474,129559334,50,30.926,Rua de Mouzinho da Silveira,False
2356350474,4529131591,50,87.605,Rua de Mouzinho da Silveira,False
2356350502,129559334,50,29.473999999999997,Rua de São João,True
2356350502,2356350474,50,25.723,Rua de São João,True
2896727653,25632376,50,12.112,Rua de Camões,True
2896727653,2896394672,50,6.63,NONE,False
2896727653,4526972145,50,3.162,NONE,False
3698101866,4529953494,50,64.764,Rua da Alegria,True
3698101866,3698101867,50,19.315,NONE,False
3698101867,3698101866,50,19.315,NONE,False
5284368066,25632454,50,10.99,Rua de Gonçalo Cristóvão,True
5284368066,7273201992,50,6.954,NONE,False
5284368066,5284368067,50,9.097,NONE,False
5284368067,3092699113,50,61.665,Rua de Gonçalo Cristóvão,True
5284368067,7273201989,50,51.812,NONE,False
5284368067,5284368066,50,9.097,NONE,False
5284368076,475396372,50,56.54,Rua da Regeneração,True
2218430228,2218430244,50,5.481,Terminal Rodoviário da Batalha,True
2218430228,2325018383,50,45.503,NONE,True
2218430236,2218430261,50,5.586,Terminal Rodoviário da Batalha,True
2218430236,2325018426,50,45.149,NONE,True
2218430244,2325018389,50,52.237,Terminal Rodoviário da Batalha,True
2218430244,2325018420,50,46.830999999999996,NONE,True
2218430250,2218430251,50,4.698,Terminal Rodoviário da Batalha,True
2218430250,2325018399,50,46.895,NONE,True
2218430251,2218430236,50,5.034,Terminal Rodoviário da Batalha,True
2218430251,2325018422,50,44.737,NONE,True
2218430261,2218430228,50,5.529,Terminal Rodoviário da Batalha,True
2218430261,2325018379,50,45.64300000000001,NONE,True
2383318843,2383318850,50,5.959,NONE,False
2383318843,2247240229,50,16.462,Rua do Carmo,True
2383318850,2383318843,50,5.959,NONE,False
2383318850,2383318861,50,52.084,NONE,False
2383318850,2247375546,50,106.674,NONE,False
2383318850,3098121112,50,53.711000000000006,NONE,False
2383318851,2383318859,50,64.073,NONE,False
2383318859,2383318851,50,64.073,NONE,False
2383318859,3392711339,50,36.99,NONE,False
2383318859,2383270247,50,69.12700000000001,NONE,False
2383318861,2383318871,50,14.251,NONE,False
2383318861,2383318871,50,115.58900000000001,NONE,False
2383318861,2383318850,50,52.083999999999996,NONE,False
2383318871,2383318861,50,14.251,NONE,False
2383318871,2383318861,50,115.589,NONE,False
2383318871,2383318877,50,11.682,NONE,False
2383318877,2383318877,50,49.182,NONE,False
2383318877,2383318877,50,49.182,NONE,False
2383318877,2383318871,50,11.682,NONE,False
3690631033,3690631035,50,10.259,NONE,False
3690631035,3690631033,50,10.259,NONE,False
3690631035,2204100015,50,28.5,Rua de Sá da Bandeira,True
2213482387,129557542,50,13.715,Largo da Porta do Olival,False
2213482387,3130312337,50,15.503,NONE,False
2213482387,6551282170,50,29.576999999999998,Largo da Porta do Olival,False
2213482387,7134805739,50,62.771,NONE,False
2213482399,7134805750,50,3.322,NONE,False
2367000478,4529953489,50,5.158,NONE,False
7138316199,6497991995,50,8.508000000000001,NONE,False
7138316199,5849847818,50,20.198,NONE,False
7138316199,6497991992,50,2.642,NONE,False
138252202,513925578,50,62.144,Rua do Monte do Tadeu,True
138252202,1788787486,50,21.316000000000003,NONE,False
7138316205,4555697400,50,5.774,NONE,False
7138316205,7138316204,50,17.858,NONE,False
7138316205,4555697405,50,44.205,NONE,False
7138316208,7138316204,50,3.436,NONE,False
7138316208,6497992002,50,6.062,NONE,False
7138316208,4555697400,50,23.009,NONE,False
7138316204,7138316208,50,3.436,NONE,False
7138316204,3398946336,50,11.459,NONE,False
7138316204,7138316205,50,17.858,NONE,False
2213482422,3392711320,50,7.782,NONE,False
2213482428,7134805750,50,3.675,NONE,False
3897692178,475352608,50,22.62,NONE,False
4529131591,111481561,50,6.772,Rua de Mouzinho da Silveira,False
4529131591,4996732855,50,9.078,NONE,False
4529131591,2356350474,50,87.60499999999999,Rua de Mouzinho da Silveira,False
4529131593,4927269235,50,2.73,Rua da Bolsa,True
4529131593,2256269811,50,3.425,NONE,False
4529131593,4996732855,50,15.443999999999999,Rua das Flores,False
4529131594,4529131595,50,4.759,NONE,False
4529131595,2356505225,50,49.479,Rua da Bolsa,False
4529131595,4529131596,50,4.794,NONE,False
4529131595,4529131594,50,4.759,NONE,False
4529131595,111481848,50,7.334999999999999,Rua da Bolsa,False
4529131597,286969936,50,87.777,Rua de Ferreira Borges,True
4529131597,4529131598,50,10.217,NONE,False
4529131597,2356503873,50,3.458,NONE,False
4529131596,4529131595,50,4.794,NONE,False
4529131598,4529131597,50,10.217,NONE,False
4529131599,4529131600,50,3.619,NONE,False
4529131600,111481848,50,10.686,Rua de Ferreira Borges,True
4529131600,4529131601,50,3.911,NONE,False
4529131600,4529131599,50,3.619,NONE,False
4529131601,4529131600,50,3.911,NONE,False
138252374,4492375365,50,153.46,Rua de Santos Pousada,True
4529131602,2256269834,50,3.526,NONE,False
4529131602,2356376620,50,3.304,NONE,False
4529131602,2207399542,50,41.397999999999996,Rua da Bolsa,True
4529131608,2256269814,50,3.652,NONE,False
4529131608,4529131607,50,3.508,NONE,False
4529131608,4529131600,50,73.167,Rua de Ferreira Borges,True
4529131607,4529131608,50,3.508,NONE,False
4529131610,2356427207,50,4.436,NONE,False
4529131610,4529131609,50,4.964,NONE,False
4529131610,2262128243,50,8.691,Rua do Infante Dom Henrique,False
4529131610,3392710660,50,35.324,Rua do Infante Dom Henrique,False
4529131612,286969970,50,8.256,Rua da Bolsa,False
4529131612,2356505222,50,2.171,Rua da Bolsa,False
4529131612,2356503917,50,5.778,NONE,False
4529131612,4529131611,50,4.715,NONE,False
4529131609,4529131610,50,4.964,NONE,False
4529131611,4529131612,50,4.715,NONE,False
2206208148,475876236,50,69.857,Rua do Corpo da Guarda,False
2466943132,1684843635,50,56.98,NONE,False
2268205236,2489384184,50,58.082,NONE,False
2268205236,2489384192,50,21.7,NONE,False
2268205236,2489384215,50,81.152,NONE,False
2246086926,1386051845,50,55.697,Praça Dona Filipa de Lencastre,True
2246086928,25620737,50,33.325,Rua do Almada,True
2246086928,2246086926,50,25.149,NONE,True
2273284449,475568688,50,33.839999999999996,Largo do Viriato,True
2273284449,475568776,50,66.30600000000001,Largo do Viriato,True
2255786343,2213037950,50,21.883999999999997,Escada Recanto,False
3695776123,25632398,50,44.944,Rua da Firmeza,True
3695776123,3695777927,50,36.876999999999995,NONE,False
5476716943,2245345711,50,12.652,Rua de Sampaio Bruno,False
5476716943,2204099951,50,5.657,Rua de Sampaio Bruno,False
5476716943,3993126224,50,99.393,Rua do Bonjardim,False
5476716945,129553667,50,8.679,Rua de Santa Catarina,True
5476716945,5320167752,50,3.071,NONE,False
5476716945,5320167753,50,2.673,NONE,False
1419645372,1419645378,50,107.851,Travessa da Carvalhosa,True
1419645372,1419645377,50,83.988,Viela da Carvalhosa,False
1419645377,1419645372,50,83.988,Viela da Carvalhosa,False
1419645378,137982795,50,42.734,Rua Sacadura Cabral,True
111481288,2356350502,50,128.326,Rua de São João,True
111481288,3392710689,50,34.681,Rua Clube Fluvial Portuense,False
111481288,2211299275,50,95.805,"['Tomaz do Douro', 'Rua de São João']",True
111481288,2080756633,50,79.424,Rua do Infante Dom Henrique,True
138220017,138220019,50,65.57,Rua das Carmelitas,True
138220017,138220134,50,162.921,Rua de Cândido dos Reis,True
138220019,7134805730,50,28.66,Rua das Carmelitas,True
138220019,2246222549,50,137.674,Rua da Galeria de Paris,True
3688665649,3688675383,50,3.292,NONE,True
3385332308,4559387634,50,459.204,Avenida Gustavo Eiffel,False
3385332308,4205377889,50,54.072,NONE,False
6550884952,6550884953,50,8.37,NONE,False
6550884952,6545541675,50,12.53,NONE,False
6550884952,6545541675,50,13.055,NONE,False
5054992986,25620653,50,7.416,Praça da República,True
5054992986,1110698299,50,15.024000000000001,NONE,False
6550884953,4554489448,50,7.051,Viela do Anjo,False
6550884953,475877057,50,11.681,Viela do Anjo,False
6550884953,6550884952,50,8.37,NONE,False
3385332316,2299608908,50,4.591,NONE,False
6550884964,6550884965,50,45.400999999999996,NONE,False
6550884965,3993126224,50,12.765,Rua do Doutor Magalhães Lemos,True
6550884965,6550884964,50,45.400999999999996,NONE,False
138220134,25620948,50,33.275,Rua da Fábrica,True
3385332336,138241053,50,78.299,Praça da Alegria,True
3385332336,2299637282,50,60.466,Ilha,False
3385332338,4610770358,50,14.789,NONE,False
3385332338,2300698630,50,4.502,NONE,False
3385332338,2300698551,50,6.24,NONE,False
4199223989,3392710685,50,25.649,Rua de Mouzinho da Silveira,False
4199223989,2207418932,50,17.57,Rua de Mouzinho da Silveira,True
2300973756,4608414352,50,4.189,Passeio das Fontainhas,False
111481561,3392710685,50,29.258,Rua de Mouzinho da Silveira,False
111481561,4529131591,50,6.772,Rua de Mouzinho da Silveira,False
4612022468,4612022452,50,66.044,NONE,False
4529953494,129553875,50,10.848,Rua da Alegria,True
4529953494,4529953495,50,3.076,NONE,False
4529953494,2375801679,50,3.24,NONE,False
2216334119,4559198603,50,15.705,NONE,False
2216334119,4559141799,50,70.919,NONE,False
2216334119,4559198606,50,31.476000000000003,NONE,False
2216334119,4559181419,50,17.965,NONE,False
2216334178,4559289602,50,14.604,NONE,False
2216334178,4559324711,50,31.166,Rua do Bairro das Fontaínhas,False
2216334178,4559198603,50,41.588,Rua do Bairro das Fontaínhas,False
475796332,286969310,50,69.37,Rua de Trás,True
475796332,475796338,50,43.111,Travessa dos Caldeireiros,False
475796338,138223440,50,57.206,Rua dos Caldeireiros,True
475796338,475796332,50,43.111,Travessa dos Caldeireiros,False
2218529670,2218529690,50,25.957,NONE,True
3098121112,1554886175,50,8.285,Rua do Carmo,True
3098121112,2383318850,50,53.711000000000006,NONE,False
3098121112,6537301918,50,10.993,NONE,False
2978059162,2978059160,50,5.3389999999999995,NONE,True
2978059161,2829209747,50,59.769,Rua de Fernandes Tomás,True
2978059161,2978059158,50,5.301,NONE,True
3098121116,128680158,50,10.661,Rua da Restauração,True
3098121116,7134786652,50,42.263,NONE,False
3098121116,6537250871,50,18.185,NONE,False
2978059160,2978059161,50,2.732,Rua de Fernandes Tomás,True
2218529690,2222190625,50,151.076,Rua das Fontainhas,True
3098121120,6537250872,50,63.197,Rua Professor Vicente José de Carvalho,False
3098121120,1554886175,50,11.147,Rua Professor Vicente José de Carvalho,False
3098121120,6537301918,50,6.824,NONE,False
3098121120,6537301917,50,7.031,NONE,False
5576758241,25632425,50,117.945,Rua da Alegria,True
5576758241,5576758242,50,10.936,NONE,False
5576758242,5576758243,50,21.003,NONE,False
5576758242,5576758241,50,10.936,NONE,False
5576758242,5576758247,50,43.370999999999995,NONE,False
5576758243,5576758242,50,21.003,NONE,False
5576758244,5576758247,50,44.825,NONE,False
5576758247,5576758244,50,44.825,NONE,False
5576758247,5576758242,50,43.370999999999995,NONE,False
5576758247,5576758257,50,61.102999999999994,NONE,False
4529953538,129553667,50,4.236,Rua de Passos Manuel,True
4529953538,2335432905,50,4.075,NONE,False
4529953538,3891282330,50,3.351,NONE,False
5576758257,5576758247,50,61.102999999999994,NONE,False
111481848,4529131597,50,5.984,Rua de Ferreira Borges,True
111481848,4529131602,50,10.301,Rua da Bolsa,True
111481848,4529131595,50,7.334999999999999,Rua da Bolsa,False
4529953544,1684844136,50,4.261,NONE,False
2204210203,1390263696,50,101.873,Rua do Loureiro,True
2204210203,4921049895,50,76.65,Travessa do Loureiro,False
2204210205,2076734382,50,54.366,Rua Chã,True
2204210205,6304127328,50,69.318,Travessa da Rua Chã,False
2204210208,138231433,50,57.228,Largo Primeiro de Dezembro,True
2204210208,4554570493,50,11.229,NONE,False
2204210210,5849847818,50,115.58300000000003,Escadas do Codeçal,False
2204210210,2206247831,50,61.755,Escadas do Codeçal,False
2204210210,1143317790,50,93.265,"['Escadas das Verdades', 'Rua da Senhora das Verdades']",False
2375816260,2242805402,50,79.81099999999999,Rua do Estêvão,True
2375816260,3392939480,50,53.396,Travessa das Liceiras,False
4529953561,2214758559,50,4.096,NONE,False
4529953562,4529953563,50,2.4,NONE,False
4529953563,4529953564,50,2.956,NONE,False
4529953563,4529953562,50,2.4,NONE,False
4529953563,1684844050,50,32.11,Rua de São Filipe de Nery,True
2204210289,2206247831,50,44.96,Escadas do Codeçal,False
2204210289,3392939428,50,42.251,Escadas do Codeçal,False
2204210289,4554496470,50,31.807000000000002,NONE,False
4529953567,4529953566,50,4.783,NONE,False
4529953567,6537301935,50,34.695,NONE,False
4529953567,7134805725,50,101.694,NONE,False
2204210316,3387597091,50,18.604,Rua do Cativo,True
2204210316,3387597068,50,124.12400000000001,Rua da Porta do Sol,False
2204210341,1684843562,50,42.981,Avenida de Vímara Peres,False
2204210341,4554496470,50,6.439,NONE,False
2204210341,3398946395,50,59.577000000000005,NONE,False
5336503462,5336503464,50,79.218,NONE,False
5336503462,2397188710,50,69.914,NONE,False
5336503462,5336503466,50,19.689,NONE,False
5336503464,5336503462,50,79.218,NONE,False
5336503464,475073423,50,24.508,NONE,False
5336503464,5336503466,50,98.521,NONE,False
5336503466,5336503462,50,19.689,NONE,False
5336503466,2397188720,50,40.68600000000001,NONE,False
