source,target,maxspeed,oneway,name,length
2086439968,2086439969,0,True,Rua de São Filipe de Nery,3.668
2086439969,2086440304,0,True,Rua de São Filipe de Nery,25.243
6571265130,6571265131,0,False,NONE,6.633
6571265131,1143317277,0,True,Rua de Dom Hugo,99.264
6571265131,6571265130,0,False,NONE,6.633
6571265165,5118553704,0,False,NONE,4.794
6571265165,5118553688,0,False,NONE,36.992
6571265165,3891282122,0,False,NONE,38.87
6571265182,1143317472,0,False,NONE,18.573999999999998
2466286885,7137534499,40,False,Calçada de Vandoma,10.542
2466286885,2205504451,40,False,Calçada de Vandoma,10.187999999999999
2940931372,2939688589,0,True,Rua Guedes de Azevedo,7.484
2940931372,3694660030,0,True,Rua do Bolhão,34.05
2086440304,4529953563,0,True,Rua de São Filipe de Nery,17.355
2086440304,4529953566,0,True,Rua de São Filipe de Nery,14.806000000000001
2256047593,3392711298,0,False,NONE,19.666
2356350474,129559334,50,False,Rua de Mouzinho da Silveira,30.926
2356350474,4529131591,50,False,Rua de Mouzinho da Silveira,87.605
2356350502,129559334,0,True,Rua de São João,29.473999999999997
2356350502,2356350474,0,True,Rua de São João,25.723
2896727653,25632376,0,True,Rua de Camões,12.112
2896727653,2896394672,0,False,NONE,6.63
2896727653,4526972145,0,False,NONE,3.162
3698101866,4529953494,0,True,Rua da Alegria,64.764
3698101866,3698101867,0,False,NONE,19.315
3698101867,3698101866,0,False,NONE,19.315
5284368066,25632454,0,True,Rua de Gonçalo Cristóvão,10.99
5284368066,7273201992,0,False,NONE,6.954
5284368066,5284368067,0,False,NONE,9.097
5284368067,3092699113,0,True,Rua de Gonçalo Cristóvão,61.665
5284368067,7273201989,0,False,NONE,51.812
5284368067,5284368066,0,False,NONE,9.097
5284368076,475396372,0,True,Rua da Regeneração,56.54
2218430228,2218430244,0,True,Terminal Rodoviário da Batalha,5.481
2218430228,2325018383,0,True,NONE,45.503
2218430236,2218430261,0,True,Terminal Rodoviário da Batalha,5.586
2218430236,2325018426,0,True,NONE,45.149
2218430244,2325018389,0,True,Terminal Rodoviário da Batalha,52.237
2218430244,2325018420,0,True,NONE,46.830999999999996
2218430250,2218430251,0,True,Terminal Rodoviário da Batalha,4.698
2218430250,2325018399,0,True,NONE,46.895
2218430251,2218430236,0,True,Terminal Rodoviário da Batalha,5.034
2218430251,2325018422,0,True,NONE,44.737
2218430261,2218430228,0,True,Terminal Rodoviário da Batalha,5.529
2218430261,2325018379,0,True,NONE,45.64300000000001
2383318843,2383318850,0,False,NONE,5.959
2383318843,2247240229,0,True,Rua do Carmo,16.462
2383318850,2383318843,0,False,NONE,5.959
2383318850,2383318861,0,False,NONE,52.084
2383318850,2247375546,0,False,NONE,106.674
2383318850,3098121112,0,False,NONE,53.711000000000006
2383318851,2383318859,0,False,NONE,64.073
2383318859,2383318851,0,False,NONE,64.073
2383318859,3392711339,0,False,NONE,36.99
2383318859,2383270247,0,False,NONE,69.12700000000001
2383318861,2383318871,0,False,NONE,14.251
2383318861,2383318871,0,False,NONE,115.58900000000001
2383318861,2383318850,0,False,NONE,52.083999999999996
2383318871,2383318861,0,False,NONE,14.251
2383318871,2383318861,0,False,NONE,115.589
2383318871,2383318877,0,False,NONE,11.682
2383318877,2383318877,0,False,NONE,49.182
2383318877,2383318877,0,False,NONE,49.182
2383318877,2383318871,0,False,NONE,11.682
3690631033,3690631035,0,False,NONE,10.259
3690631035,3690631033,0,False,NONE,10.259
3690631035,2204100015,50,True,Rua de Sá da Bandeira,28.5
2213482387,129557542,0,False,Largo da Porta do Olival,13.715
2213482387,3130312337,0,False,NONE,15.503
2213482387,6551282170,0,False,Largo da Porta do Olival,29.576999999999998
2213482387,7134805739,0,False,NONE,62.771
2213482399,7134805750,0,False,NONE,3.322
2367000478,4529953489,0,False,NONE,5.158
7138316199,6497991995,0,False,NONE,8.508000000000001
7138316199,5849847818,0,False,NONE,20.198
7138316199,6497991992,0,False,NONE,2.642
138252202,513925578,0,True,Rua do Monte do Tadeu,62.144
138252202,1788787486,0,False,NONE,21.316000000000003
7138316205,4555697400,0,False,NONE,5.774
7138316205,7138316204,0,False,NONE,17.858
