source,target,oneway,maxspeed,length,osmid,name
2202026209,138246839,False,0,13.338,210073284,NONE
2202026209,138243251,True,0,295.546,14334249,Rua de António Granjo
479183080,129786479,True,0,95.967,95841112,Rua de Entre Campos
2202026216,2202026220,True,50,58.569,210073245,Avenida de Camilo
2202026216,2202026217,False,0,13.518,210073282,NONE
2202026217,138246839,True,50,59.963,14334234,Avenida de Camilo
2202026217,2202026216,False,0,13.518,210073282,NONE
479297772,479309290,False,0,17.619,39928989,Rua de Cascais
479297772,479411938,False,0,7.231,39928989,Rua de Cascais
479297772,1143318805,False,0,65.841,39928995,Rua de Algés
479297773,479297762,False,0,20.456,39928989,Rua de Cascais
479297773,479309290,False,0,20.062,39928989,Rua de Cascais
479297773,479292902,False,0,115.906,39921299,Rua de Leça
479297773,4505062035,False,0,52.559,39921304,Rua da Nazaré
2202026220,138246838,True,50,59.504,210073245,Avenida de Camilo
2202026220,2202026224,False,0,13.039,210073286,NONE
2202026224,2202026217,True,50,58.257,14334234,Avenida de Camilo
2202026224,2202026220,False,0,13.039,210073286,NONE
2202026227,2202026224,True,50,60.689,14334234,Avenida de Camilo
2202026227,138246838,True,0,13.601,14334291,Rua de António Carneiro
314048763,5297832488,True,0,26.001,28590927,Rua de Correia de Sá
314048763,314048657,True,0,34.483,478883478,Rua de Duarte Pacheco Pereira
2208891134,1554874570,True,0,75.688,31573135,Rua de Augusto Rosa
2208891134,3392939433,True,50,112.43099999999998,210851328,Praça da Batalha
480346381,1105954950,False,0,31.003,39979724,Rua 7
335560973,475055357,True,0,40.812,30405489,Rua Joaquim de Vasconcelos
2202026257,414905299,True,0,9.333,35731564,Praça das Flores
2202026257,414905299,True,0,122.54299999999999,"[210073301, 210073299, 210073285]",NONE
480346389,1105954950,False,0,29.845,39979724,Rua 7
480346404,480346311,False,0,30.031,39979741,Rua 8
480346406,480346285,False,0,20.355,39979756,Rua 11
480346406,1105954939,False,0,5.564,39979774,Rua 3
480346406,480346209,False,0,45.813,39979774,Rua 3
2940944679,2940944907,True,0,26.485000000000003,"[290580548, 290580549]",NONE
2940944679,3092699113,True,0,21.177,"[726566450, 304688482]",Rua Sá da Bandeira
480346408,1105954939,False,0,17.719,39979774,Rua 3
480346408,1108123743,False,0,28.97,453820411,Rua 12
480346408,480346512,False,0,115.882,39979774,Rua 3
299598126,299597866,True,0,52.542,27291486,Rua da Cruz
299598126,299598676,True,0,67.41499999999999,27291520,Rua de Artur de Paiva
128581937,128586501,True,0,67.908,34777927,NONE
128581937,2490198483,True,0,98.47999999999999,"[448858673, 13798541]",Rua da Igreja de Paranhos
299614518,513931856,False,0,91.359,27293302,Rua da Póvoa
479183169,479183377,False,0,35.346,609306715,Travessa de Entre Campos
479183169,479183225,True,0,219.355,39911740,Travessa de Entre Campos
479183169,479184232,False,0,98.562,609308106,Rua do Professor José Valente
1352646988,1352647001,True,0,18.726999999999997,29036519,Avenida de Fernão de Magalhães
1352646988,1352647004,True,0,32.921,120692682,Rua de Contumil
297369936,431647309,True,0,66.285,37112934,NONE
297369936,2169195547,False,0,85.671,240884742,Rua da Telheira
4751573331,560401022,False,0,134.57899999999998,44093328,Rua do Conselheiro Correia de Barros
1352646998,130075593,True,0,43.033,13860800,NONE
1352646998,130075590,True,0,43.302,536714314,Avenida de Fernão de Magalhães
1352646999,1594780111,True,0,93.05799999999999,30911269,Rua Padre Manuel da Nóbrega
1352646999,299610558,True,0,51.997,549444984,Avenida de Fernão de Magalhães
789692760,3570149423,False,0,96.509,37856969,Rua João Corregedor da Fonseca
789692760,789830274,False,0,42.584,161123922,Travessa Nova de Currais
789692760,789695386,False,0,137.191,161123922,Travessa Nova de Currais
1352647001,1352647004,True,0,32.272,228657550,Rua de Contumil
1352647001,5307690019,True,0,105.49300000000001,549454264,Avenida de Fernão de Magalhães
297369946,2486710642,False,0,107.434,351525777,NONE
